,0,1,2
0,creative,Top10,https://class101.net/products/MeWbxFNvpDjWA67CWylo
1,creative,Top10,https://class101.net/products/taAqhVz62rYVn7JFZYY7
2,creative,Top10,https://class101.net/products/SuRY3jkWhHoOW4GHu6NQ
3,creative,Top10,https://class101.net/products/6zymWqgESI5vlAS8XGVv
4,creative,Top10,https://class101.net/products/eQ0bkTGij6wioYNSya88
5,creative,Top10,https://class101.net/products/YxoLEEDOqDUH3NZ1PBJ0
6,creative,Top10,https://class101.net/products/aGWkyjGR9BeQnYVYSYPu
7,creative,Top10,https://class101.net/products/hf3H7C5T96VByVsA3ZRz
8,creative,Top10,https://class101.net/products/TVGZnhMLoqiuvvOd0956
9,creative,Top10,https://class101.net/products/2XmAanyYa7IuDNqtPyve
10,creative,New,https://class101.net/products/7upcoHWs8NoMn84WqOdr
11,creative,New,https://class101.net/products/MeWbxFNvpDjWA67CWylo
12,creative,New,https://class101.net/products/MsbVkx56JxutdRmnicny
13,creative,New,https://class101.net/products/F6Xf6LKeOoHjLTCE3eld
14,creative,New,https://class101.net/products/NrbBnnFXggAakHmMZp8y
15,creative,New,https://class101.net/products/TVGZnhMLoqiuvvOd0956
16,creative,New,https://class101.net/products/6zymWqgESI5vlAS8XGVv
17,creative,New,https://class101.net/products/R38sGT9W1TuFuerrUoYy
18,creative,New,https://class101.net/products/K3Zo8qnNlSMOm0zOPTI2
19,creative,New,https://class101.net/products/49fhFO02i3bbSQkjZnXk
20,creative,New,https://class101.net/products/jpJZhobyWAAp6m7x50gp
21,creative,New,https://class101.net/products/waZdZ8YMllQDiHVX2HPI
22,creative,New,https://class101.net/products/U8Vk8CInpQhHuHNm6JPI
23,creative,New,https://class101.net/products/V9wKu8BSOFkgpDb6QQWb
24,creative,New,https://class101.net/products/bGGMXq2f3Jyudq4ocUFD
25,creative,New,https://class101.net/products/WtBaedR99dBNVxYHFRZ0
26,creative,New,https://class101.net/products/apiV6fBr5laNbFU5NrWh
27,creative,New,https://class101.net/products/eUr7fRGk7j2cIpYu03ul
28,creative,New,https://class101.net/products/wefe0AyQCC27HhMjtpZK
29,creative,New,https://class101.net/products/DfmjiR8ArmVQJbvr4uks
30,money,Top10,https://class101.net/products/nE3Rka3C8quVUg6sJTXu
31,money,Top10,https://class101.net/products/zaswQi8tonzayH30fpDq
32,money,Top10,https://class101.net/products/kl0DdlkkXGyssJdqUHeK
33,money,Top10,https://class101.net/products/6JEEdjUieqshYeSb7ALy
34,money,Top10,https://class101.net/products/KPPdqrZv7ZQ6CrDU0VVa
35,money,Top10,https://class101.net/products/M7QbyoAue23dUEutSPtn
36,money,Top10,https://class101.net/products/AKwX4czUR18hIyk1A8gk
37,money,Top10,https://class101.net/products/j2cqasKulOEI8EtcgWmd
38,money,Top10,https://class101.net/products/fBcuqxuLShuEZXVFNfHV
